,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
0,5,5,4,1,1,5,1,1,1,4,4,1,2,4,1,4,2,2,2,5,2,4,4,4,4,4,4,4,3,4
1,5,2,4,1,1,5,4,3,2,2,2,2,2,3,2,4,1,2,2,2,5,5,4,2,2,2,2,2,1,3
2,5,4,2,2,2,4,6,4,6,3,4,4,2,4,6,3,1,2,3,2,2,1,4,3,3,4,3,2,5,3
3,5,3,4,1,4,5,4,5,1,4,1,3,2,5,3,3,2,5,2,2,2,3,5,2,1,5,1,3,5,3
4,4,4,2,5,1,4,3,4,3,4,4,4,5,5,3,5,1,3,3,3,3,1,2,2,3,3,3,2,1,1
5,5,4,4,2,2,5,2,4,1,1,2,5,2,3,2,3,1,3,1,2,1,3,1,2,2,3,1,2,1,1
6,5,4,4,2,2,2,5,5,3,1,5,1,1,5,2,3,2,2,1,2,2,4,5,2,4,4,2,2,5,4
7,2,4,2,2,1,4,4,1,5,2,2,1,4,5,4,3,1,2,1,2,5,3,5,1,2,4,1,1,1,1
8,4,3,4,2,2,4,3,4,2,1,1,4,1,3,4,4,2,2,1,2,4,5,3,2,3,4,2,3,5,2
9,4,3,4,6,2,4,4,4,2,2,2,3,2,3,2,3,2,6,2,1,4,5,5,3,3,3,2,1,1,3
10,1,2,4,4,1,1,2,2,2,1,2,4,2,2,2,4,1,2,3,1,3,2,2,2,2,2,2,2,4,2
11,4,2,2,3,3,3,1,3,1,1,1,5,1,1,3,5,1,1,1,3,5,5,5,1,3,4,2,4,5,1
12,5,5,5,1,1,5,5,1,1,1,1,1,1,1,1,5,1,1,1,1,5,5,3,1,1,5,1,1,1,1
13,5,5,5,2,2,4,4,2,1,1,1,2,1,4,3,1,2,5,5,2,2,1,3,3,3,3,1,1,1,3
14,5,2,4,4,2,4,2,2,3,2,2,2,1,4,3,4,2,4,1,2,2,5,5,3,2,4,3,2,4,3
